label	ComposerLast	ComposerFirst	Composer	Work	Conductor	Performed	TimesPerf	NumConcerts	CumNumConcerts	NumHSOConcerts	CumNumHSOConcerts	Decade	First Date	Date	DayMonth	Year	Soloists	Comments	Venue	ConcertType	Chorus Conductor	Season	Sponsorship	Rating
Tchaikowsky - 1812 Overture 1992-07-04	Tchaikowsky	Pyotr Ilyich   	"Tchaikowsky, Pyotr Ilyich"	1812 Overture	"Wayland, Newton"	True	1	1	68	1	65	1990	7/4/1992	1992-07-04	4-Jul	1992		Miller Theater 4th of July Concert	Miller Theater	Classical	"Hausmann, Charles"	91-92	HSO	***
Various - Pops 1992-07-04	Various	    	Various	Pops	"Wayland, Newton"	True	1	0	68	0	65	1990	7/4/1992	1992-07-04	4-Jul	1992	Joel Brandon (whistler)	Miller Theater 4th of July Concert	Miller Theater	Pops	"Hausmann, Charles"	91-92	HSO	***
"Beethoven - Symphony #9, ""Choral"" 1992-07-25"	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	"Symphony #9, ""Choral"""	"Eschenbach, Christoph"	True	2	2	70	2	67	1990	7/25/1992	1992-07-25	25/26-Jul	1992	"Marquita Lister (s), Sandra Walker (ms), John Keyes (t), Richard Paul Fink (b)"	Summer Festival performance	Houston	Classical	"Hausmann, Charles"	91-92	HSO	***
"Vaughan Williams - Sea Symphony, A 1992-10-10"	Vaughan Williams	Ralph    	"Vaughan Williams, Ralph"	"Sea Symphony, A"	"Seaman, Christopher"	True	3	3	73	3	70	1990	10/10/1992	1992-10-10	10/11/12-Oct	1992	"Marvis Martin (s), William Stone (b),"		Houston	Classical	"Hausmann, Charles"	92-93	HSO	*****
Various - Christmas Pops 1992-12-17	Various	    	Various	Christmas Pops	"Miller, Mitch"	True	7	5	78	5	75	1990	12/17/1992	1992-12-17	17/18/19/20/20-Dec	1992		"Houston Childrens Chorus (Stephen H Roddy dir). Concerts in JH(5), 17-Dec was Conoco Christmas Party.  7 performances include Galveston and UH."	Houston	Pops	"Hausmann, Charles"	92-93	HSO	
Handel - Messiah 1992-12-18	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Stein, Stephen"	False	0	0	78	0	75	1990	12/18/1992	1992-12-18	18-Dec	1992	"Amy Burton (s), Luretta Bybee (ms), Stanford Olsen (t), David Pittsinger (b)"	"Concert at Grand 1894 Opera House, Galveston. A planned Dec 19 concert in Galveston was cancelled."	Galveston	Classical	"Hausmann, Charles"	92-93	HSO	**
Handel - Messiah 1992-12-20	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Stein, Stephen"	False	0	0	78	0	75	1990	12/20/1992	1992-12-20	20/21/22-Dec	1992	"Amy Burton (s), Luretta Bybee (ms), Stanford Olsen (t), David Pittsinger (b)"	"Concerts at JH (Dec 21, 22), and First Methodist (Dec 20). 4 performances include one in Galveston."	Houston	Classical	"Hausmann, Charles"	92-93	HSO	
Various - Christmas Pops 1992-12-21	Various		Various	Christmas Pops	"Miller, Mitch"	True	1	1	79	1	76	1990	12/21/1992	1992-12-21	21-Dec	1992		"Houston Childrens Chorus (Stephen H Roddy dir). Concert in U of H Clear Lake Campus, Bayou Bldg (Atrium)."	Houston Metropolitan Area	Pops	"Hausmann, Charles"	92-93	HSO	**
Various - Christmas Pops 1992-12-22	Various		Various	Christmas Pops	"Miller, Mitch"	True	1	1	80	1	77	1990	12/22/1992	1992-12-22	22-Dec	1992		Houston Childrens Chorus (Stephen H Roddy dir). Concert in Opera House (Galveston)	Galveston	Pops	"Hausmann, Charles"	92-93	HSO	
Berlioz - Requiem 1993-02-13	Berlioz	Hector    	"Berlioz, Hector"	Requiem	"Shaw, Robert"	True	3	3	83	3	80	1990	2/13/1993	1993-02-13	13/14/15-Feb	1993	Karl Dent (t)		Houston	Classical	"Hausmann, Charles"	92-93	HSO	*****
